iso,id_centro,nombre_centro,geocoded_lat,geocoded_lon,geocode_source,geocode_precision,arcgis_score,geocode_query,geocode_distance_km,target_type,original_lat,original_lon,geocoded_in_adm1,geocoded_in_adm2,geo_adm1_check,geo_adm2_check,original_in_adm1,original_in_adm2,orig_adm1_check,orig_adm2_check,acceptance
COL,325754003932,LICEO PSICOPEDAGÓGICO ORION,4.584104001794,-74.212420878099,arcgis,street,99.55,"KR 7B 22 55 BR LA CAÑADA, Soacha, Cundinamarca, Colombia",2.454936523507978,compare,4.583611111,-74.19027778,Cundinamarca,Soacha,MATCH,MATCH,Cundinamarca,Soacha,MATCH,MATCH,KEEP_ORIGINAL
COL,325754003967,CENTRO EDUCATIVO COLEGIO BILINGUE DE SOACHA ROSALIA VIDAL DE RICO EU,4.585138490294,-74.221629189724,arcgis,centroid,93.81,"KR 11 10 07 BR EUGENIO DIAZ, Soacha, Cundinamarca, Colombia",0.44984184674992433,compare,4.582777778,-74.21833333,Cundinamarca,Soacha,MATCH,MATCH,Cundinamarca,Soacha,MATCH,MATCH,KEEP_ORIGINAL
COL,325754004017,LICEO LOS HEROES,4.5683516,-74.2422107,arcgis,uncertain,89.66,"CL 35ASUR 14C 04 BR QUINTAS DE SANTA ANA, Soacha, Cundinamarca, Colombia",3.136770640854705,compare,4.585833333,-74.22,Cundinamarca,Soacha,MATCH,MATCH,Cundinamarca,Soacha,MATCH,MATCH,FLAG
COL,325754004033,LICEO INTEGRAL LOS ALISOS,4.595707279907,-74.20185691407,arcgis,street,96.09,"TV 16 41 B 20 BR OLIVOS IV, Soacha, Cundinamarca, Colombia",3.1465704323513677,compare,4.580555556,-74.22583333,Cundinamarca,Soacha,MATCH,MATCH,Cundinamarca,Soacha,MATCH,MATCH,KEEP_ORIGINAL
COL,325754004050,INSTITUTO TÉCNICO GRANCOLOMBIANO,4.595756020674,-74.193189858549,arcgis,street,99.53,"CL 49 9 24 BR LEON XIII, Soacha, Cundinamarca, Colombia",2.0770851917980604,compare,4.585555556,-74.20888889,Cundinamarca,Soacha,MATCH,MATCH,Cundinamarca,Soacha,MATCH,MATCH,KEEP_ORIGINAL
COL,325754004068,LICEO NUEVA COLOMBIA,4.587660988135,-74.213922915149,arcgis,street,96.87,"CL 20 12 61 BR SOL DE PORTALEGRE, Soacha, Cundinamarca, Colombia",0.7035670603490547,compare,4.585833333,-74.22,Cundinamarca,Soacha,MATCH,MATCH,Cundinamarca,Soacha,MATCH,MATCH,KEEP_ORIGINAL
COL,325754004076,INSTITUCIÓN EDUCATIVA LICEO CONVIBA,4.558993999175,-74.241474901438,arcgis,street,99.59,"CL 41 SUR 6D 67 BR SAN NICOLAS, Soacha, Cundinamarca, Colombia",3.6842276544145864,compare,4.582777778,-74.21833333,Cundinamarca,Soacha,MATCH,MATCH,Cundinamarca,Soacha,MATCH,MATCH,KEEP_ORIGINAL
COL,325754004084,GIMNASIO MODERNO SAN NICOLAS,4.5815552,-74.223792,arcgis,centroid,90.91,"CL 4A 6A 47 BR LA FRAGUA, Soacha, Cundinamarca, Colombia",1.1441955071513055,compare,4.5725,-74.21888889,Cundinamarca,Soacha,MATCH,MATCH,Cundinamarca,Soacha,MATCH,MATCH,KEEP_ORIGINAL
COL,325754004122,COLEGIO LEÓN MAGNO,4.591479992769,-74.20052293418,arcgis,street,96.99,"DG 38A 13A 18 BR LEON XIII, Soacha, Cundinamarca, Colombia",2.2482637593035317,compare,4.585833333,-74.22,Cundinamarca,Soacha,MATCH,MATCH,Cundinamarca,Soacha,MATCH,MATCH,KEEP_ORIGINAL
COL,325754004131,I E COLEGIO DE BACHILLERATO NIÑO JESUS EU,4.579294403414,-74.220569161488,arcgis,street,96.54,"CL 11 5 81 BR LA UNION, Soacha, Cundinamarca, Colombia",0.01675172832665841,compare,4.579444444,-74.22055556,Cundinamarca,Soacha,MATCH,MATCH,Cundinamarca,Soacha,MATCH,MATCH,KEEP_ORIGINAL
COL,325754004165,INSTITUTO CRISTIANO TIERRA PROMETIDA SAS,4.594920386837,-74.191362184561,arcgis,street,96.63,"CL 53 8A 39 BR LEON XIII, Soacha, Cundinamarca, Colombia",4.203064613824265,compare,4.574166667,-74.22305556,Cundinamarca,Soacha,MATCH,MATCH,Cundinamarca,Soacha,MATCH,MATCH,KEEP_ORIGINAL
COL,325754004173,INSTITUTO PEDAGÓGICO ALFRED BINET EU,4.580283396216,-74.200399155134,arcgis,street,96.88,"CL 31 6 A 22 BR ESTE SAN MATEO, Soacha, Cundinamarca, Colombia",1.4724313638908046,compare,4.586388889,-74.18861111,Cundinamarca,Soacha,MATCH,MATCH,Cundinamarca,Soacha,MATCH,MATCH,KEEP_ORIGINAL
COL,325754004203,LICEO ANGEL DE LA GUARDA EU,4.563906003984,-74.185656120156,arcgis,centroid,92.3,"CL 36 41 13 BR BUENOS AIRES, Soacha, Cundinamarca, Colombia",4.520598136299464,compare,4.585833333,-74.22,Cundinamarca,Soacha,MATCH,MATCH,Cundinamarca,Soacha,MATCH,MATCH,KEEP_ORIGINAL
COL,325754004211,LICEO ISABEL SARMIENTO EU,4.598255881387,-74.196044902409,arcgis,street,99.57,"CL 46 B 20 71 BR JUAN PABLO I, Soacha, Cundinamarca, Colombia",0.10869082937122614,compare,4.5975,-74.19666667,Cundinamarca,Soacha,MATCH,MATCH,Cundinamarca,Soacha,MATCH,MATCH,KEEP_ORIGINAL
COL,325754004220,LICEO SAN VALENTINO,4.580328498181,-74.203870332295,arcgis,street,97.78,"CL 29 F 3 A 08 BR SAN MATEO, Soacha, Cundinamarca, Colombia",1.8896866815956226,compare,4.585833333,-74.22,Cundinamarca,Soacha,MATCH,MATCH,Cundinamarca,Soacha,MATCH,MATCH,KEEP_ORIGINAL
COL,325754004238,LICEO CRISTIANO VIDA NUEVA,4.581057515266,-74.212814827549,arcgis,street,99.55,"KR 3 19 A 47 BR EL DORADO, Soacha, Cundinamarca, Colombia",0.11919782623926758,compare,4.581111111,-74.21388889,Cundinamarca,Soacha,MATCH,MATCH,Cundinamarca,Soacha,MATCH,MATCH,KEEP_ORIGINAL
COL,325754004254,LICEO MADRE TERESA DE CALCUTA,4.588791064434,-74.200685881741,arcgis,street,97.67,"KR 7 31 64 BR SAN MATEO, Soacha, Cundinamarca, Colombia",1.0659414409386818,compare,4.5975,-74.19666667,Cundinamarca,Soacha,MATCH,MATCH,Cundinamarca,Soacha,MATCH,MATCH,KEEP_ORIGINAL
COL,325754004262,CENTRO EDUCATIVO LICEO NUESTRA SEÑORA MILAGROSA,4.577828009882,-74.20036191782,arcgis,street,96.73,"KR 9 ESTE 30 B 19 BR SAN MATEO, Soacha, Cundinamarca, Colombia",2.351657049683447,compare,4.585833333,-74.22,Cundinamarca,Soacha,MATCH,MATCH,Cundinamarca,Soacha,MATCH,MATCH,KEEP_ORIGINAL
