iso,id_centro,gps_lat,gps_lon,geocoded_lat,geocoded_lon,distance_km,arcgis_score,extent_area,precision,query,address_returned
COL,273854000329,4.252942806,-75.18837744,4.182107825653,-75.17148928265,8.1,87.32,0.029584,street,"VDA VALLECITOS, Valle de San Juan, Tolima, Colombia","Valle de San Juan, Tolima"
COL,419698001179,3.174322401,-76.45935682,3.174099026055,-76.45935752164,0.02,96.6,4e-06,street,"CL CALLE 4 5 50 BR LOS ALMENDROS, Villa Rica, Cauca, Colombia","Calle 4 5 50, Villa Rica, Cauca"
COL,268167000129,6.235815023,-73.10388791,6.194862721665,-73.154120906337,7.18,81.33,0.111556,street,"VDA PALMA SEGUNDO SECTOR, Charalá, Santander, Colombia","Charalá, Santander"
COL,125183000591,5.147701562,-73.68068809,5.147055492418,-73.680874808332,0.07,98.14,4e-06,street,"KR 4 10 76 BR CENTRO, Chocontá, Cundinamarca, Colombia","Carrera 4 10 76, Chocontá, Cundinamarca"
COL,247189000851,10.76825142,-74.01171548,9.31172,-74.40097,167.47,93.28,4.0,street,"C PALMOR, Ciénaga, Magdalena, Colombia",Ciénaga Palmar
COL,308001000211,10.94917446,-74.78895277,10.949147013458,-74.788929938706,0.0,99.59,4e-06,street,"CL 34B 10 05 BR LAS PALMAS, Barranquilla, Atlántico, Colombia","Calle 34B 10 05, Las Palmas, Barranquilla, Atlantico"
COL,247570000328,10.75342259,-74.31384036,10.75255,-74.31659,0.32,97.14,0.000196,street,"VDA TIERRA NUEVA, Puebloviejo, Magdalena, Colombia","Tierra Nueva, Puebloviejo, Magdalena"
COL,213248000124,10.075432,-74.84560572,10.07399,-74.84374,0.26,98.62,3.6e-05,street,"C ROBLES, El Guamo, Bolívar, Colombia","Robles, El Guamo, Bolívar"
COL,223807003690,8.15863,-76.09065,8.22814,-75.88289,24.14,96.67,0.000196,street,"VDA CARRIZOLA, Tierralta, Córdoba, Colombia","Carrizola, Tierralta, Córdoba"
COL,281065002638,6.786988,-71.165643,6.89583,-71.48028,36.78,95.0,0.0001,street,"VDA NUEVO MUNDO, Arauquita, Arauca, Colombia",Nuevo Mundo
COL,123660000873,8.94532991,-75.43743008,8.955641750506,-75.448992023882,1.71,97.57,4e-06,street,"CL 19 2 1 BR MIRAMAR, Sahagún, Córdoba, Colombia","Calle 19 2 1, Sahagún, Córdoba"
COL,205837002827,8.23684197,-76.51713509,8.22005,-76.5169,1.87,100.0,0.000196,street,"VDA SINAI, Turbo, Antioquia, Colombia","Vda Sinai, Turbo, Antioquia"
COL,266001001370,4.743844325,-75.78087982,4.8381751,-75.674505,15.78,98.86,4e-06,street,"C LA ESTRELLA, Pereira, Risaralda, Colombia","La Estrella, Dosquebradas, Risaralda"
COL,218256000909,1.348616774,-75.10559958,1.3715,-75.23922,15.07,96.36,0.0004,street,"VDA JAMAICA, El Paujíl, Caquetá, Colombia","Jamaica, El Paujil, Caquetá"
COL,276001020434,3.516303,-76.567354,3.4832161,-76.5267942,5.81,98.71,1.6e-05,street,"C LA PAZ, Cali, Valle del Cauca, Colombia","La Paz, Cali, Valle del Cauca"
COL,108001002576,10.97576849,-74.81335654,10.977142587243,-74.815942121887,0.32,96.21,4e-06,street,"KR 26A 74B 130 BR LA LIBERTAD, Barranquilla, Atlántico, Colombia","Carrera 26A 74B, El Silencio, Barranquilla, Atlantico"
COL,254206000688,8.718296093,-73.27270383,8.868111400777,-73.203168144878,18.33,90.91,0.4489,street,"CT GUASILES, Convención, Norte de Santander, Colombia","Convención, Norte de Santander"
COL,241319000370,1.965496736,-75.76670355,1.96366,-75.76962,0.38,96.25,0.000196,street,"VDA MARMATO, Guadalupe, Huila, Colombia","Marmato, Guadalupe, Huila"
COL,273483000312,3.403353728,-75.18566796,3.40224,-75.193,0.82,96.57,0.000196,street,"VDA LA PALMITA, Natagaima, Tolima, Colombia","La Palmita, Natagaima, Tolima"
COL,273283000458,5.163783635,-75.09521679,5.16675,-75.09996,0.62,96.13,0.000196,street,"VDA PARTIDAS, Fresno, Tolima, Colombia","Partidas, Fresno, Tolima"
COL,218756000301,0.949428,-75.212375,0.93,-75.2,2.56,89.57,0.0036,street,"COM RESGUARDO INDIGENA PEÑAS ROJAS, Solano, Caquetá, Colombia","Resguardo Indígena Peña Roja, Caquetá"
COL,268377000261,5.864580358,-74.02349315,5.86747,-74.02365,0.32,95.14,0.000196,street,"VDA SINAGOGA ALTA, La Belleza, Santander, Colombia","Vereda Sinagoga, La Belleza, Santander"
COL,325899000753,5.025278401,-74.00291398,5.025795684993,-74.002892795657,0.06,89.57,4e-06,street,"KR 7 7 94 BR LA FLORESTA, Zipaquirá, Cundinamarca, Colombia","Carrera 7 7, El Centro, Zipaquirá, Cundinamarca"
COL,273483000797,3.487778,-75.108611,3.48782,-75.10878,0.02,100.0,0.000196,street,"VDA MERCADILLO EL PROGRESO, Natagaima, Tolima, Colombia","Vda. Mercadillo El Progreso, Natagaima, Tolima"
COL,217001001689,4.994167,-75.583056,5.0076771,-75.5772498,1.63,96.84,0.0004,street,"VDA ALTO DEL ZARZO, Manizales, Caldas, Colombia","Alto Del Zarzo, Manizales, Caldas"
COL,276606000290,3.82141,-76.5963,3.806089026033,-76.535378540524,6.97,84.68,0.018496,street,"VDA ALTOS DE ZABALETA, Restrepo, Valle del Cauca, Colombia","Restrepo, Valle del Cauca"
COL,150573000554,4.087777778,-72.95555556,4.088051614393,-72.956330409719,0.09,96.0,4e-06,street,"CL 9 7A 06 BR JORGE ELIECER GAITAN, Puerto López, Meta, Colombia","Calle 9 7A 06, Puerto López, Meta"
COL,270429001177,8.58416,-74.8556,8.46668,-74.81666,13.75,95.93,0.000196,street,"C LAS CANDELARIAS, Majagual, Sucre, Colombia","Candelaria, Majagual, Sucre"
COL,219622000077,2.25823068,-76.81022893,2.26108,-76.81083,0.32,94.01,0.000196,street,"VDA LOMA BAJO VDA LOMA BAJO, Rosas, Cauca, Colombia","Vda. Loma Abajo, Rosas, Cauca"
HND,162800044,15.2420386275915,-88.65642807312587,15.21,-88.56,10.94,85.72,2.25,street,"EL BARRANCO NUEVA FRONTERA  DEPARTAMENTO DE SANTA BARBARA, Nueva Frontera, Santa Bárbara, Honduras","Nueva Frontera, Santa Bárbara"
HND,61500048,13.3417922484871,-86.92377949862346,13.41512,-86.82095,13.79,84.02,2.25,street,"CASERIO EL FRIJOLILLO  MUNICIPIO SAN MARCOS DE COLON  DEPARTAMENTO CHOLUTECA, San Marcos de Colón, Choluteca, Honduras","San Marcos de Colón, Choluteca"
HND,121000019,13.898707701429936,-87.85889206599592,14.08741,-87.89421,21.33,80.0,0.0484,street,"ALDEA LAS MESETAS  MUNICIPIO DE OPATORO  LA PAZ  CALLE PRINCIPAL  CONTIGUA CENTRO DE SALUD, Opatoro, La Paz, Honduras","Opatoro, La Paz"
HND,20900102,15.668188686492792,-85.96576847530757,15.6579,-86.00293,4.14,81.18,0.001444,street,"EL TIGRE  UNA CUADRA AL OESTE DE LA QUEBRADA EL TIGRE  TOCOA  COLON, Tocoa, Colón, Honduras","Tocoa, Colon"
HND,140700015,14.438666842471584,-89.03681154161164,14.481344750439,-89.030801011328,4.79,78.4,0.0144,street,"CEB ABOG. CARLOS HUMBERTO ARITA  CERRO GRANDE LA LABOR  OCOTEPEQUE  HONDURAS, La Labor, Ocotepeque, Honduras","La Labor, Ocotepeque"
HND,81000010,13.934343138111712,-86.99576935556026,13.88395,-87.03983,7.35,82.0,4e-06,street,"LIZAPA 12 KILÓMETROS  DESPUÉS DE LA UNIVERSIDAD AGRÍCOLA DEL ZAMORANO.CARRETERA DE MARAITA, Maraita, Francisco Morazán, Honduras","Maraita, Francisco Morazan"
HND,170400004,13.722905412438624,-87.670525785965,13.724917394282,-87.694856468321,2.64,80.0,0.012544,street,"ALDEA LAS POZAS  MUNICIPIO DE ARAMECINA  DEPARTAMENTO DE VALLE  FRENTE AL CAMPO DE FUTBOL, Aramecina, Valle, Honduras","Aramecina, Valle"
HND,151700041,15.40113505379396,-85.59516577322064,15.21422,-85.77507,28.36,81.64,0.000256,street,"JOCOMICO  A 35 KILOMETROS DE SAN ESTEBAN  OLANCHO., San Esteban, Olancho, Honduras","San Esteban, Olancho"
HND,170900011,13.414989152955744,-87.36033032819579,13.45149,-87.40743,6.51,82.05,2.25,street,"ALDEA LAURE ABAJO; MUNICIPIO DE SAN LORENZO  DEPARTAMENTO DE VALLE; HONDURAS., San Lorenzo, Valle, Honduras","San Lorenzo, Valle"
HND,70900004,13.805584287819766,-86.80067752931902,13.82181,-86.82025,2.78,81.18,6.4e-05,street,"ESCUELA ESTEBAN GUARDIOLA  EL ABRA  OROPOLI  EL PARAISO, Oropolí, El Paraíso, Honduras","Oropoli, El Paraiso"
HND,161100003,15.054232965219756,-88.14349201797793,15.0530018,-88.1913008,5.14,80.0,0.0256,street,"LA MONTAÑITA  ILAMA  BARRIO EL CENTRO  FRENTE A CARRETERA DE LA COMUNIDAD., Ilama, Santa Bárbara, Honduras","Ilama, Santa Barbara"
HND,120800025,14.096521853075318,-88.03503668093136,14.15267,-88.03842,6.25,81.18,0.000576,street,"FRENTE AL CAMPO DE FUTBOL  LOS PLANEZ  MARCALA  LA PAZ, Marcála, La Paz, Honduras","Marcala, La Paz"
